skillName
Core Loading,
Phase Paper Insertion (VW),
Lead Wire Setting,
Neutral Tube Insertion,
Neutral Crimp,
Pre-Lacing,
Lacing,
Lead Terminal Crimp,
Lead Wire Forming,
